sim,n_control,n_cfs,sensitivity,specificity,misrate,p,p_min,p_max,overall_or,or_t,theta0,theta1_true,theta1,snp
10000,201,305,1,1,0.97,0.094,0.0882792837610049,0.0997207162389951,0.89801511173841,1.53899186256781,0.557213930348259,0.632004658168884,0.53053548221082,CTLA4
10000,201,305,1,1,0.98,0.0942,0.0884738332582841,0.099926166741716,0.894251869236571,1.53899186256781,0.557213930348259,0.632004658168884,0.529489408231871,CTLA4
10000,201,305,1,1,0.99,0.0941,0.0883765575251173,0.0998234424748827,0.890505323052877,1.53899186256781,0.557213930348259,0.632004658168884,0.528443334252922,CTLA4
10000,201,305,1,1,1,0.0988,0.0929505983342157,0.104649401665784,0.88677536231884,1.53899186256781,0.557213930348259,0.632004658168884,0.527397260273973,CTLA4
10000,201,305,1,1,0,0.6982,0.689201462712595,0.707198537287405,0.634959008064725,0.937686939182453,0.507462686567164,0.395478246243552,0.395478246243552,IRF5
10000,201,305,1,1,0.01,0.7015,0.692529670704173,0.710470329295827,0.635370263638483,0.937686939182453,0.507462686567164,0.395478246243552,0.395633052822213,IRF5
10000,201,305,1,1,0.02,0.6986,0.689604852373893,0.707595147626107,0.635781729949709,0.937686939182453,0.507462686567164,0.395478246243552,0.395787859400873,IRF5
10000,201,305,1,1,0.03,0.7024,0.693437460235827,0.711362539764173,0.636193407160425,0.937686939182453,0.507462686567164,0.395478246243552,0.395942665979533,IRF5
10000,201,305,1,1,0.04,0.6938,0.684764709476357,0.702835290523643,0.63660529543282,0.937686939182453,0.507462686567164,0.395478246243552,0.396097472558194,IRF5
10000,201,305,1,1,0.05,0.6946,0.685571319465417,0.703628680534583,0.637017394929247,0.937686939182453,0.507462686567164,0.395478246243552,0.396252279136854,IRF5
10000,201,305,1,1,0.06,0.6961,0.687083799776625,0.705116200223375,0.637429705812228,0.937686939182453,0.507462686567164,0.395478246243552,0.396407085715515,IRF5
10000,201,305,1,1,0.07,0.6874,0.678312976914519,0.696487023085482,0.637842228244452,0.937686939182453,0.507462686567164,0.395478246243552,0.396561892294175,IRF5
10000,201,305,1,1,0.08,0.6904,0.68133697353896,0.69946302646104,0.638254962388772,0.937686939182453,0.507462686567164,0.395478246243552,0.396716698872835,IRF5
10000,201,305,1,1,0.09,0.6951,0.686075467006079,0.704124532993921,0.638667908408212,0.937686939182453,0.507462686567164,0.395478246243552,0.396871505451496,IRF5
